source_no;sku;slug;status;name_ar;name_en;category;category_slug;subcategory;brand;model;country_of_origin;unit;quantity;price_sar;price_type;availability;warranty;short_description_ar;full_description_ar;dimensions;voltage;frequency;phase;power;capacity;temperature_range;productivity;material;stainless_grade;image_filename;datasheet_filename;possible_duplicate_of;inferred_fields;data_quality;data_quality_notes;additional_image_filenames;image_count
33;EW-QT-0033;ingredient-bin-0033;active;عربة مكونات جافة;Ingredient Bin;منتجات الستانلس ستيل;stainless-steel;العربات والحاويات;غير مذكور;غير مذكور;غير مذكور;قطعة;1;;request_quote;غير محدد;غير مذكور;عربة مكونات جافة ستانلس ستيل 50 كيلو S/STEEL INGREDIENT BINS 50KG;عربة مكونات جافة ستانلس ستيل 50 كيلو S/STEEL INGREDIENT BINS 50KG;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;50KG;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0033.jpeg;EW-QT-0033.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
34;EW-QT-0034;stainless-steel-sink-0034;active;مجلى ستانلس ستيل 10 سم;Stainless Steel Sink;منتجات الستانلس ستيل;stainless-steel;الأحواض والمجالي;غير مذكور;غير مذكور;غير مذكور;قطعة;1;;request_quote;غير محدد;غير مذكور;مجلى ستانلس ستيل 3 حوض مع شفة جدارية S/STEEL 3 BOWL SINK WITH & BACKSPLASH Size 170x70x90+10 CM Bowl size 40x40x30;مجلى ستانلس ستيل 3 حوض مع شفة جدارية S/STEEL 3 BOWL SINK WITH & BACKSPLASH Size 170x70x90+10 CM Bowl size 40x40x30;170x70x90+10 CM;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0034.jpeg;EW-QT-0034.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
35;EW-QT-0035;stainless-steel-sink-0035;active;مجلى ستانلس ستيل 10 سم;Stainless Steel Sink;منتجات الستانلس ستيل;stainless-steel;الأحواض والمجالي;غير مذكور;غير مذكور;غير مذكور;متر;1;;request_quote;غير محدد;غير مذكور;مجلى ستانلس ستيل 0 حوض مع شفة جدارية S/STEEL 0 BOWL SINK WITH & BACKSPLASH Size 00x00x00+10 CM Bowl size 00x00x00;مجلى ستانلس ستيل 0 حوض مع شفة جدارية S/STEEL 0 BOWL SINK WITH & BACKSPLASH Size 00x00x00+10 CM Bowl size 00x00x00;00x00x00+10 CM;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0035.png;EW-QT-0035.pdf;;sku, slug, name_en, category, subcategory;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور؛ توجد أبعاد Placeholder في المصدر وتحتاج استبدال;;1
36;EW-QT-0036;stainless-steel-shelving-unit-0036;active;وحدة أرفف ستانلس 00 سم;Stainless Steel Shelving Unit;منتجات الستانلس ستيل;stainless-steel;الأرفف;غير مذكور;غير مذكور;غير مذكور;متر;1;;request_quote;غير محدد;غير مذكور;وحدة أرفف ستانلس ستيل 4 رفوف 4 TIER SHELVING UNIT Size 000x000x00 cm;وحدة أرفف ستانلس ستيل 4 رفوف 4 TIER SHELVING UNIT Size 000x000x00 cm;000x000x00 cm;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0036.jpeg;EW-QT-0036.pdf;;sku, slug, name_en, category, subcategory;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور؛ توجد أبعاد Placeholder في المصدر وتحتاج استبدال;;1
37;EW-QT-0037;stainless-steel-grease-trap-0037;active;مصيدة دهون ستانلس;Stainless Steel Grease Trap;منتجات الستانلس ستيل;stainless-steel;مصائد الدهون;غير مذكور;غير مذكور;غير مذكور;قطعة;1;;request_quote;غير محدد;غير مذكور;مصيدة زيت من الستانلس ستيل S/STEEL GREASE TRAP WITH CASTOR;مصيدة زيت من الستانلس ستيل S/STEEL GREASE TRAP WITH CASTOR;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0037.png;EW-QT-0037.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
38;EW-QT-0038;stainless-steel-work-table-0038;active;طاولة ستانلس ستيل 10 سم;Stainless Steel Work Table;منتجات الستانلس ستيل;stainless-steel;الطاولات;غير مذكور;غير مذكور;غير مذكور;متر;1;;request_quote;غير محدد;غير مذكور;طاولة ستانلس ستيل مع رف سفلي ورف وسطي وشفة جدارية S/STEEL TABLE WITH UNDER & MIDDLE SHELF WITH BACKSPLASH Size 210x70x90+10 cm;طاولة ستانلس ستيل مع رف سفلي ورف وسطي وشفة جدارية S/STEEL TABLE WITH UNDER & MIDDLE SHELF WITH BACKSPLASH Size 210x70x90+10 cm;210x70x90+10 cm;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0038.jpeg;EW-QT-0038.pdf;;sku, slug, name_en, category, subcategory;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
39;EW-QT-0039;double-overshelf-0039;active;رف علوي مزدوج ستانلس 70 سم;Double Overshelf;منتجات الستانلس ستيل;stainless-steel;الأرفف;غير مذكور;غير مذكور;غير مذكور;متر;1;;request_quote;غير محدد;غير مذكور;رف مزدوج ستانلس ستيل يوضع فوق الأسطحs/STEEL 2 LEVEL OVERSHELF Size 135x40x70 cm;رف مزدوج ستانلس ستيل يوضع فوق الأسطحs/STEEL 2 LEVEL OVERSHELF Size 135x40x70 cm;135x40x70 cm;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0039.png;EW-QT-0039.pdf;;sku, slug, name_en, category, subcategory;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
40;EW-QT-0040;sink-faucet-0040;active;خلاط مغسلة;Sink Faucet;معدات الغسيل;warewashing;الخلاطات والصنابير;غير مذكور;غير مذكور;غير مذكور;قطعة;1;;request_quote;غير محدد;غير مذكور;خلاط مغسلة من الفولاذ المقاوم للصدأ;خلاط مغسلة من الفولاذ المقاوم للصدأ;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0040.jpeg;EW-QT-0040.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
41;EW-QT-0041;can-opener-0041;active;فتاحة علب;Can Opener;معدات التحضير;food-preparation;أدوات التحضير;Sanelli;غير مذكور;غير مذكور;قطعة;1;;request_quote;غير محدد;غير مذكور;CAN OPNER SANELLI - ITALY فتاحة علب;CAN OPNER SANELLI - ITALY فتاحة علب;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0041.jpeg;EW-QT-0041.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
42;EW-QT-0042;stainless-steel-trolley-0042;active;عربة ستانلس ستيل 90 سم;Stainless Steel Trolley;منتجات الستانلس ستيل;stainless-steel;العربات والحاويات;غير مذكور;غير مذكور;غير مذكور;قطعة;1;;request_quote;غير محدد;غير مذكور;عربة ستانلس ستيل مقاس 90X60X90CM;عربة ستانلس ستيل مقاس 90X60X90CM;90X60X90CM;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0042.jpeg;EW-QT-0042.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
43;EW-QT-0043;hand-wash-sink-0043;active;حوض غسيل يدوي 31 سم;Hand Wash Sink;معدات الغسيل;warewashing;أحواض غسيل اليدين;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;حوض غسيل ركبة ستانلس ستيل مع خلاط Size :40x40x31cm Made in china;حوض غسيل ركبة ستانلس ستيل مع خلاط Size :40x40x31cm Made in china;40x40x31cm;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0043.png;EW-QT-0043.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
44;EW-QT-0044;hand-wash-sink-0044;active;حوض غسيل يدوي;Hand Wash Sink;معدات الغسيل;warewashing;أحواض غسيل اليدين;غير مذكور;غير مذكور;تركيا;قطعة;1;;request_quote;غير محدد;غير مذكور;حوض غسيل يدوي قائم بذاته مصنوع من الفوالذ المقاوم للصدأ مع مفتاح قدم مؤقت وصنبور دوار Size:50x45x85 Made in Turkey;حوض غسيل يدوي قائم بذاته مصنوع من الفوالذ المقاوم للصدأ مع مفتاح قدم مؤقت وصنبور دوار Size:50x45x85 Made in Turkey;50x45x85 ;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0044.png;EW-QT-0044.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
45;EW-QT-0045;counter-refrigerator-0-door-0045;active;ثلاجة كاونتر 0 باب - 000 سم;Counter Refrigerator, 0 Door;التبريد والتجميد;refrigeration;ثلاجات الكاونتر;Al Kayan Factory;غير مذكور;السعودية;قطعة;1;;request_quote;غير محدد;غير مذكور;ثلاجة كاونتر 0 باب من لفولاذ القماوم للصدأ مقاس 000x000x000 cm من alkayan factory مع كومبرسر دانفوس ودائرة تبريد أوروبية U/C 0 DOOR CHILLER With Danfoss compressor and European refrigeration circuit;ثلاجة كاونتر 0 باب من لفولاذ القماوم للصدأ مقاس 000x000x000 cm من alkayan factory مع كومبرسر دانفوس ودائرة تبريد أوروبية U/C 0 DOOR CHILLER With Danfoss compressor and European refrigeration circuit;000x000x000 cm;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0045.jpeg;EW-QT-0045.pdf;;sku, slug, name_en, category, subcategory, country_of_origin;يحتاج مراجعة;بلد المنشأ مستنتج من اسم المصنع ويحتاج تأكيد؛ رقم الموديل غير مذكور؛ السعر غير مذكور؛ توجد أبعاد Placeholder في المصدر وتحتاج استبدال;;1
46;EW-QT-0046;stainless-steel-work-table-0046;active;طاولة ستانلس ستيل 000 سم;Stainless Steel Work Table;منتجات الستانلس ستيل;stainless-steel;الطاولات;غير مذكور;غير مذكور;غير مذكور;متر;1;;request_quote;غير محدد;غير مذكور;طاولة ستانلس ستيل مع رف سفلي وشفة جدارية S/STEEL TABLE WITH UNDER WITH BACKSPLASH Size 000x000x000 cm;طاولة ستانلس ستيل مع رف سفلي وشفة جدارية S/STEEL TABLE WITH UNDER WITH BACKSPLASH Size 000x000x000 cm;000x000x000 cm;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0046.jpeg;EW-QT-0046.pdf;;sku, slug, name_en, category, subcategory;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور؛ توجد أبعاد Placeholder في المصدر وتحتاج استبدال;;1
47;EW-QT-0047;stainless-steel-wall-shelf-0047;active;رف جداري ستانلس 00 سم;Stainless Steel Wall Shelf;منتجات الستانلس ستيل;stainless-steel;الأرفف;غير مذكور;غير مذكور;غير مذكور;متر;1;;request_quote;غير محدد;غير مذكور;رف جداري من الستانلس ستيل S/STEEL WALL SHELF Size 000x00x00 cm;رف جداري من الستانلس ستيل S/STEEL WALL SHELF Size 000x00x00 cm;000x00x00 cm;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0047.jpeg;EW-QT-0047.pdf;;sku, slug, name_en, category, subcategory;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور؛ توجد أبعاد Placeholder في المصدر وتحتاج استبدال;;1
